,incident_name,incident_is_final,incident_date_last_update,incident_date_created,incident_administrative_unit,incident_administrative_unit_url,incident_county,incident_location,incident_acres_burned,incident_containment,incident_control,incident_cooperating_agencies,incident_longitude,incident_latitude,incident_type,incident_id,incident_url,incident_date_extinguished,incident_dateonly_extinguished,incident_dateonly_created,is_active,calfire_incident,notification_desired
1469,Bear Fire ,Y,2020-02-16T09:24:05Z,2020-02-15T17:48:27Z,CAL FIRE Humboldt-Del Norte Unit,,Humboldt,"Bear Creek Road and Anderson Ford Road, Northwest of Highway 36 at Dinsmore",15.0,100.0,,,-123.6378411,40.511092,Wildfire,94f20083-2412-4058-bc16-afa6b45c3935,https://osfm.fire.ca.gov/incidents/2020/2/15/bear-fire/,,,2020-02-15,N,True,False
1477,South Main Fire,Y,2020-03-09T11:20:45Z,2020-03-06T12:44:00Z,CAL FIRE / Riverside County Fire,,Riverside,"Off South Main Divide & Hacienda Rd, El Cariso",20.0,100.0,,,-117.40906,33.65263,Wildfire,083f1638-4369-410f-9b57-d53cfaa938f7,https://osfm.fire.ca.gov/incidents/2020/3/6/south-main-fire/,,,2020-03-06,N,True,False
1479,Red Fire ,Y,2020-04-26T09:53:40Z,2020-04-23T20:52:04Z,CAL FIRE Tehama-Glenn Unit,,Tehama,"Red Bank Road, Southwest of Red Bluff",26.0,100.0,,,-122.43905,40.09554,Wildfire,3eff88c0-89ee-4abe-8f6d-f74b90c42f30,https://osfm.fire.ca.gov/incidents/2020/4/23/red-fire/,2020-04-24T09:53:00Z,2020-04-24,2020-04-23,N,True,False
1481,Byron Fire,Y,2020-04-27T20:34:21Z,2020-04-27T14:59:04Z,Contra Costa Fire Protection District,,Contra Costa,"Byron Highway and Bruns Ave, southeast of Byron",47.0,100.0,,Contra Costa Fire Protection District,-121.595225,37.82066,Wildfire,18b88d88-2c76-41cb-9b07-5c9dda8f56d9,https://osfm.fire.ca.gov/incidents/2020/4/27/byron-fire/,2020-04-27T20:33:00Z,2020-04-27,2020-04-27,N,False,False
1484,Candy Fire,Y,2020-07-24T15:35:00Z,2020-05-08T14:46:20Z,CAL FIRE/Butte County Fire,,Butte,"Candy Cane Ln and Apache Hill Rd, west of Palermo",17.0,100.0,,CAL FIRE/Butte County Fire,-121.47273,39.42208,Wildfire,9a8425a9-f3ba-4afe-82d2-d9a9776959aa,https://osfm.fire.ca.gov/incidents/2020/5/8/candy-fire/,2020-05-08T15:21:00Z,2020-05-08,2020-05-08,N,False,False
1485,Gilman Fire,Y,2020-05-19T12:01:22Z,2020-05-18T13:38:14Z,CAL FIRE / Riverside County Fire ,,Riverside,"Gilman Springs Road and Slegers Street, Southeast of Moreno Valley",20.0,100.0,,CAL FIRE / Riverside County Fire ,-117.024114,33.861054,Wildfire,3788f0dd-0d61-4458-95a2-ebda03b815b2,https://osfm.fire.ca.gov/incidents/2020/5/18/gilman-fire/,2020-05-18T18:11:00Z,2020-05-18,2020-05-18,N,True,False
1487,Spanish Fire ,Y,2020-05-23T14:42:38Z,2020-05-22T15:27:09Z,CAL FIRE Sonoma Lake Napa Unit ,,Napa,"Spanish Valley Trail and Stagecoach Canyon, Northwest of Lake Berryessa",20.0,100.0,,,-122.403634,38.697834,Wildfire,adbbc326-9f9a-434d-b18b-67a44f3906e5,https://osfm.fire.ca.gov/incidents/2020/5/22/spanish-fire/,2020-05-23T14:00:00Z,2020-05-23,2020-05-22,N,False,False
1494,Nash Fire,Y,2020-06-01T19:10:03Z,2020-06-01T17:41:59Z,CAL FIRE Mendocino Unit,,Mendocino,Nash Mill Rd and Big Meadow Rd,10.0,100.0,,,-123.48018,39.1296,Wildfire,0b723ec6-680d-464b-ba30-b444506ceb44,https://osfm.fire.ca.gov/incidents/2020/6/1/nash-fire/,,,2020-06-01,N,False,False
1495,Horn Fire ,Y,2020-06-02T18:33:56Z,2020-06-02T17:01:52Z,Northern California District - Susanville,,Lassen,"Horn Road and Mail Route Road, east of Ravendale in Lassen County. ",37.0,100.0,,,-120.288882,40.809323,Wildfire,0eca3343-e9f9-4d09-9fc3-95ab90b153ae,https://osfm.fire.ca.gov/incidents/2020/6/2/horn-fire/,2020-06-02T18:33:00Z,2020-06-02,2020-06-02,N,False,False
1498,Silver Fire,Y,2020-06-04T17:37:30Z,2020-06-04T07:38:05Z,CAL FIRE Santa Clara Unit,,Santa Clara,"Dutch Flat Trail, East of San Jose",19.0,100.0,,,-121.726223,37.329163,Wildfire,0416a81f-0a17-4835-b05e-fe59a6e7379a,https://osfm.fire.ca.gov/incidents/2020/6/4/silver-fire/,,,2020-06-04,N,False,False
