,incident_name,incident_is_final,incident_date_last_update,incident_date_created,incident_administrative_unit,incident_administrative_unit_url,incident_county,incident_location,incident_acres_burned,incident_containment,incident_control,incident_cooperating_agencies,incident_longitude,incident_latitude,incident_type,incident_id,incident_url,incident_date_extinguished,incident_dateonly_extinguished,incident_dateonly_created,is_active,calfire_incident,notification_desired
1493,Amoruso Fire,Y,2020-06-01T16:44:41Z,2020-06-01T15:52:43Z,"Unified command: CAL FIRE, Placer County Fire Department and Placer County Sheriffs Office",,Placer,"Sunset Blvd West and Amoruso Way, southwest of Lincoln",650.0,100.0,,,-121.390862,38.824371,Wildfire,a47ae21e-d488-4978-ade9-aeed0db63fa6,https://osfm.fire.ca.gov/incidents/2020/6/1/amoruso-fire/,,,2020-06-01,N,True,False
1501,Karchner Fire,Y,2020-06-05T12:33:42Z,2020-06-05T09:04:00Z,CAL FIRE Nevada Yuba Placer Unit ,,Placer,"Karchner Road and Riosa Road, East of Wheatland",39.0,100.0,,,-121.340239,38.98487,Wildfire,57a6f6b7-eba1-4ed7-ba7b-6b078b06731d,https://osfm.fire.ca.gov/incidents/2020/6/5/karchner-fire/,2020-06-05T12:32:00Z,2020-06-05,2020-06-05,N,True,False
1522,Watt Fire,Y,2020-06-11T20:51:28Z,2020-06-11T18:25:12Z,CAL FIRE Nevada-Yuba-Placer Unit,,Placer,PFE Rd and Watt Ave,40.0,100.0,Acreage change due to better mapping.,,-121.378879,38.733421,Wildfire,e86309b6-2223-4448-a7a2-bb83d4bc8352,https://osfm.fire.ca.gov/incidents/2020/6/11/watt-fire/,2020-06-11T20:46:00Z,2020-06-11,2020-06-11,N,True,False
1538,Nelson Fire,Y,2020-06-18T19:24:38Z,2020-06-18T16:56:59Z,CAL FIRE Nevada-Yuba-Placer Unit,,Placer,"Nelson Rd and Rockwell Ln, west of Lincoln",110.0,100.0,,,-121.33956,38.89178,Wildfire,2a79a833-693d-4dff-a199-c93b5a3ebe39,https://osfm.fire.ca.gov/incidents/2020/6/18/nelson-fire/,2020-06-18T19:24:00Z,2020-06-18,2020-06-18,N,True,False
1638,Duluth Fire,Y,2020-08-13T14:26:10Z,2020-08-10T18:58:13Z,Placer County Fire Department and Roseville Fire Department,,Placer,Duluth Ave and Nichols Dr,65.0,100.0,,,-121.318472,38.81111,Wildfire,56e82924-7e7b-4cd0-9221-7f299718b493,https://osfm.fire.ca.gov/incidents/2020/8/10/duluth-fire/,2020-08-11T14:25:00Z,2020-08-11,2020-08-10,N,False,False
1677,Perry Fire,Y,2020-08-26T19:35:14Z,2020-08-26T13:37:15Z,Unified command: CAL FIRE Nevada-Yuba-Placer Unit and City of Auburn Fire Dept,,Placer,Perry Ranch Rd and Werner Rd,9.0,100.0,,,-121.10411,38.8825,Wildfire,3826c0d8-e78d-4608-889c-b7c4f6c37a25,https://osfm.fire.ca.gov/incidents/2020/8/26/perry-fire/,,,2020-08-26,N,True,False
1715,Point Fire (Placer County),Y,2020-11-09T17:51:41Z,2020-10-26T08:21:48Z,USFS El Dorado National Forest,,Placer,"Nevada Point Rd and Long Creek Rd, east of Foresthill",,,,USFS El Dorado National Forest,-120.488892,39.009454,Wildfire,57d6e532-295c-4166-a6f3-1cc64acbf5de,https://osfm.fire.ca.gov/incidents/2020/10/26/point-fire-placer-county/,2020-11-09T17:51:00Z,2020-11-09,2020-10-26,N,False,False
1803,Watt Fire,Y,2021-06-21T19:04:51Z,2021-06-21T16:41:35Z,Placer County Fire Department,,Placer,"Watt Ave at PFE Rd, north of Sacramento",42.0,100.0,,,-121.39247,38.728881,Wildfire,1702e4de-4414-4604-a70d-e0f54df154bd,https://osfm.fire.ca.gov/incidents/2021/6/21/watt-fire/,2021-06-21T19:04:05Z,2021-06-21,2021-06-21,N,False,False
1890,Bridge Fire,Y,2021-09-14T18:21:02Z,2021-09-05T12:53:14Z,"Unified Command: CALFIRE Nevada-Placer Unit, Placer County Sheriff, California State Parks",,Placer,Under the Foresthill bridge in Auburn,411.0,100.0,,,-121.036613,38.921239,Wildfire,ff71cd3b-2261-4248-92fa-f24733cfdcfe,https://osfm.fire.ca.gov/incidents/2021/9/5/bridge-fire/,2021-09-14T18:20:39Z,2021-09-14,2021-09-05,N,True,False
1654,Jones Fire,Y,2020-08-28T16:25:02Z,2020-08-17T06:50:32Z,Unified Command: CAL FIRE Nevada-Yuba-Placer Unit and Nevada County Consolidated Fire Protection District,,Nevada,"Jones Bar Rd, Yuba River Drainage, northwest of Nevada City",705.0,100.0,,"CAL FIRE Nevada-Yuba-Placer Unit, Nevada County Consolidated Fire Protection District",-121.100352,39.29241,Wildfire,a7b2fc4a-18ce-4a89-b192-24c1389c014c,https://osfm.fire.ca.gov/incidents/2020/8/17/jones-fire/,2020-08-28T16:19:00Z,2020-08-28,2020-08-17,N,True,False
